PhotoID,CameraModel,LensID,ShutterSpeedValue,ApertureValue,ISO,FocalLength,FocalLengthIn35mmFormat,SubjectDistance,eyeglasses,head_accessory,ear_obstruct,makeup,facialhair,face_decor,head_tilt,head_lift,head_turn,BirthYear,Age_atphoto,Gender,Nationality,Weight,Height,fWHR,M_attractiveness,SD_attractiveness,M_dominance,SD_dominance,M_femininity,SD_femininity,M_masculinity,SD_masculinity,M_trustworthiness,SD_trustworthiness,M_Turkishness,SD_Turkishness,GM_DA,GM_MF
190,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,1,2,0,0,0,0,0,1994,21,Female,Turkish,,,2.100175349,3.224137931,1.622680298,4.593220339,1.509951404,3.965517241,1.566821761,3.389830508,1.829046757,4.050847458,1.56935885,3.610169492,0.982904723,0.036418879,0.005163929
196,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,98.0 mm,147 mm,2.82 m,0,0,1,2,0,0,0,0,0,1994,22,Female,Turkish,,,1.979536862,4.338709677,1.81923735,4.283333333,1.49679507,5.310344828,1.441330971,2.050847458,1.443460029,4.288135593,1.608713852,4.14516129,0.865490938,0.038434916,0.000628572
197,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,2,0,0,0,0,0,1987,29,Female,Turkish,,,1.832490172,5.06557377,1.470474441,4.573770492,1.657900443,5.661290323,1.200321656,1.714285714,1.006888715,5.063492063,1.35447902,3.951612903,0.913064007,0.033094673,-0.024426777
199,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,2,0,0,0,1,0,1995,21,Female,Turkish,,,2.029098333,3.25,1.598294546,3.912280702,1.503337974,4.745454545,1.46841035,2,1.088662108,4.561403509,1.388955721,4.055555556,0.940025425,0.039110111,-0.012233436
200,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,10,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,1,0,0,0,1996,20,Female,Turkish,58,159,1.940187158,1.721311475,0.985412731,3.393442623,1.725096022,2.779661017,1.651204332,4.050847458,1.716288385,3.305084746,1.476882052,4.233333333,0.927300925,0.032453454,-0.017021157
205,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,0,0,0,0,0,0,1996,20,Female,Turkish,58,172,1.970992721,1.839285714,1.140602484,2.714285714,1.569183757,2.945454545,1.626381826,3.910714286,1.831807708,3.785714286,1.603567451,4.277777778,0.762732592,0.045166789,-0.036753248
206,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,1,0,0,1995,21,Female,Turkish,47,160,1.955831159,2.179104478,1.358758046,2.014925373,1.308394081,3.104477612,1.606184339,2.5,1.625358743,3.720588235,1.867599531,3.454545455,1.069605509,0.043226872,-0.032125271
212,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/100,13,125,105.0 mm,157 mm,2.82 m,0,1,0,2,0,0,0,0,0,1993,22,Female,Turkish,,,1.814083075,3.298245614,1.87049375,3.672413793,1.658449191,4.642857143,1.823369223,1.964912281,1.388278897,4.392857143,1.7957381,4.666666667,0.475594866,,
213,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,1,0,0,1,0,0,0,1993,22,Female,Turkish,,,1.995124685,5.533333333,4.077497848,4.147540984,1.579409864,4.93442623,1.376818222,2.216666667,1.354110712,4.950819672,1.499180104,3.950819672,0.920619891,0.033577912,-0.017610521
219,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,1,0,0,0,0,0,1996,20,Female,Turkish,60,160,2.003680277,3.233333333,1.807392228,4.466666667,1.84544025,4.233333333,1.577024302,4.442622951,3.34427167,3.516666667,1.408108079,3.06779661,0.997659447,0.038792338,-0.033128143
221,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,1,0,0,0,0,0,0,0,1997,19,Female,Turkish,60,170,1.799986599,1.586206897,0.955767034,2.86440678,1.675972462,2.915254237,1.764478389,3.672131148,1.841388167,3.491525424,1.590628604,3.06779661,1.324365909,,
227,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,1,1996,20,Female,Turkish,55,165,1.838981546,2.174603175,1.17142982,2.825396825,1.508467312,3.596774194,1.476145595,2.841269841,1.536715698,3.548387097,1.387029133,2.428571429,0.979043076,0.05482813,-0.015908877
